2022-12-20 19:32:46 INFO  TopMenuPage :50 - verifyComputerComputers
2022-12-20 19:35:28 INFO  ComputerPage :218 - clickOnComputerTab[[ChromeDriver: chrome on WINDOWS (afac5b60e9fd6ec7ef9e865ec8c6cb6e)] -> link text: Computers]
2022-12-20 19:35:28 INFO  ComputerPage :223 - clickOnDesktop[[ChromeDriver: chrome on WINDOWS (afac5b60e9fd6ec7ef9e865ec8c6cb6e)] -> xpath: //h2[@class='title']//a]
2022-12-20 19:35:29 INFO  ComputerPage :228 - getSelectByText[[ChromeDriver: chrome on WINDOWS (afac5b60e9fd6ec7ef9e865ec8c6cb6e)] -> xpath: //select[@name='products-orderby']]
2022-12-20 19:35:32 INFO  ElectronicsPage :270 - mouseHoverOnElectronicTab[[ChromeDriver: chrome on WINDOWS (d6206c601105b09b1c54089b87d3b603)] -> xpath: //a[text()='Electronics ']]
2022-12-20 19:35:32 INFO  ElectronicsPage :275 - clickOnCellPhones[[ChromeDriver: chrome on WINDOWS (d6206c601105b09b1c54089b87d3b603)] -> xpath: //ul[1]/li[2]/ul[1]/li[2]/a[1]]
2022-12-20 19:35:33 INFO  ElectronicsPage :280 - getCellPhoneTextCell phones
2022-12-20 19:35:36 INFO  TopMenuPage :50 - verifyComputerComputers
2022-12-20 19:35:59 INFO  ComputerPage :218 - clickOnComputerTab[[ChromeDriver: chrome on WINDOWS (5020b2df67ca34e2d1cce1b52b3d64e5)] -> link text: Computers]
2022-12-20 19:36:00 INFO  ComputerPage :223 - clickOnDesktop[[ChromeDriver: chrome on WINDOWS (5020b2df67ca34e2d1cce1b52b3d64e5)] -> xpath: //h2[@class='title']//a]
2022-12-20 19:36:00 INFO  ComputerPage :228 - getSelectByText[[ChromeDriver: chrome on WINDOWS (5020b2df67ca34e2d1cce1b52b3d64e5)] -> xpath: //select[@name='products-orderby']]
2022-12-20 19:36:03 INFO  ComputerPage :218 - clickOnComputerTab[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> link text: Computers]
2022-12-20 19:36:03 INFO  ComputerPage :223 - clickOnDesktop[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //h2[@class='title']//a]
2022-12-20 19:36:04 INFO  ComputerPage :228 - getSelectByText[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //select[@name='products-orderby']]
2022-12-20 19:36:04 INFO  ComputerPage :238 - clickOnAddToCart[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[2]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/div[2]/button[1]]
2022-12-20 19:36:05 INFO  ComputerPage :243 - getBuildYourOwnTextBuild your own computer
2022-12-20 19:36:07 INFO  ComputerPage :248 - selectProcessorE2200ByValue[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //select[@id='product_attribute_1']]
2022-12-20 19:36:09 INFO  ComputerPage :253 - selectRam8GBByValue[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //select[@id='product_attribute_2']]
2022-12-20 19:36:11 INFO  ComputerPage :258 - clickOnHDDRadio400GB[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //label[text()='400 GB [+$100.00]']]
2022-12-20 19:36:11 INFO  ComputerPage :263 - clickOnOsRadioVistaPremium[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //label[text()='Vista Premium [+$60.00]']]
2022-12-20 19:36:11 INFO  ComputerPage :268 - clickOnSoftwareTotalCommander[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //input[@id='product_attribute_5_10']]
2022-12-20 19:36:11 INFO  ComputerPage :273 - totalCommand[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //input[@id='product_attribute_5_12']]
2022-12-20 19:36:13 INFO  ComputerPage :283 - clickOnAddToCartButton[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-12-20 19:36:13 INFO  ComputerPage :288 - getCartTextThe product has been added to your shopping cart
2022-12-20 19:36:14 INFO  ComputerPage :293 - closeCartMessageBox[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //span[@class='close']]
2022-12-20 19:36:14 INFO  ComputerPage :298 - mouseHoverOnShoppingCart[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //span[contains(text(),'Shopping cart')]]
2022-12-20 19:36:14 INFO  ComputerPage :303 - clickOnShoppingCart[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //button[contains(text(),'Go to cart')]]
2022-12-20 19:36:15 INFO  ComputerPage :313 - clearTextInQuantityField[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //input[@value='1']]
2022-12-20 19:36:15 INFO  ComputerPage :320 - sendTextToQuantityField[[ChromeDriver: chrome on WINDOWS (cb8b6ca2a066bc7d881560b61fc6f62c)] -> xpath: //input[@value='1']]
